## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8341e+00   1.0399e+00   6.2261e-01   1.9826e-02   1.5995e+03   1.0658e+04
  3.5313e+00   3.5695e+00   1.2705e+00   6.1879e-01   1.6394e-02   2.3392e+03   1.6162e+04
  4.4457e+00   4.4892e+00   1.4998e+00   6.3025e-01   1.3273e-02   3.5689e+03   2.4564e+04
  5.5968e+00   5.6430e+00   1.7286e+00   6.3236e-01   1.0715e-02   5.4760e+03   3.7010e+04
  7.0460e+00   7.1191e+00   1.9609e+00   6.3329e-01   8.7476e-03   8.2163e+03   5.6992e+04
  8.8703e+00   8.9709e+00   2.1921e+00   6.3335e-01   6.9589e-03   1.2983e+04   8.8474e+04
  1.1167e+01   1.1275e+01   2.4207e+00   6.2516e-01   5.5800e-03   2.0192e+04   1.3742e+05
  1.4059e+01   1.4198e+01   2.6512e+00   6.2723e-01   4.5710e-03   3.0091e+04   2.0787e+05
  1.7699e+01   1.7891e+01   2.8824e+00   6.2757e-01   3.6757e-03   4.6534e+04   3.2218e+05
  2.2281e+01   2.2477e+01   3.1105e+00   6.2782e-01   3.0113e-03   6.9333e+04   4.7385e+05
  2.8050e+01   2.8294e+01   3.3407e+00   6.2961e-01   2.5340e-03   9.7916e+04   6.7030e+05
  3.5313e+01   3.5622e+01   3.5710e+00   6.3232e-01   2.1268e-03   1.3900e+05   9.5064e+05
  4.4457e+01   4.4774e+01   3.7996e+00   6.3597e-01   1.8440e-03   1.8490e+05   1.3101e+06
  5.5968e+01   5.6262e+01   4.0280e+00   6.3844e-01   1.6878e-03   2.2071e+05   1.6297e+06
  7.0460e+01   7.0847e+01   4.2585e+00   6.3488e-01   1.5672e-03   2.5597e+05   1.9251e+06
  8.8703e+01   8.9225e+01   4.4891e+00   6.3411e-01   1.4079e-03   3.1718e+05   2.4085e+06
  1.1167e+02   1.1243e+02   4.7203e+00   6.3253e-01   1.2540e-03   3.9982e+05   3.1233e+06
  1.4059e+02   1.4237e+02   4.9565e+00   6.3366e-01   1.0383e-03   5.8318e+05   4.3232e+06
  1.7699e+02   1.8019e+02   5.1920e+00   6.3373e-01   7.5338e-04   1.1077e+06   7.9067e+06
  2.2281e+02   2.2430e+02   5.4110e+00   6.3728e-01   5.7264e-04   1.9173e+06   1.3535e+07
