## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8289e+00   1.0380e+00   6.5150e-01   1.4546e-02   2.9886e+03   1.5698e+04
  3.5313e+00   3.5580e+00   1.2673e+00   6.4003e-01   1.2236e-02   4.2235e+03   2.2866e+04
  4.4457e+00   4.4872e+00   1.4993e+00   6.5156e-01   1.0289e-02   5.9726e+03   3.2507e+04
  5.5968e+00   5.6445e+00   1.7288e+00   6.4237e-01   8.4153e-03   8.9291e+03   4.7348e+04
  7.0460e+00   7.1071e+00   1.9592e+00   6.3957e-01   7.0408e-03   1.2755e+04   6.9637e+04
  8.8703e+00   8.9814e+00   2.1932e+00   6.4224e-01   5.6535e-03   1.9784e+04   1.0295e+05
  1.1167e+01   1.1271e+01   2.4203e+00   6.4374e-01   4.4826e-03   3.1469e+04   1.6229e+05
  1.4059e+01   1.4168e+01   2.6490e+00   6.4162e-01   3.8031e-03   4.3719e+04   2.2930e+05
  1.7699e+01   1.7904e+01   2.8830e+00   6.4325e-01   3.1407e-03   6.4103e+04   3.3374e+05
  2.2281e+01   2.2474e+01   3.1104e+00   6.4022e-01   2.4793e-03   1.0287e+05   5.2535e+05
  2.8050e+01   2.8342e+01   3.3423e+00   6.4115e-01   2.1087e-03   1.4221e+05   7.5478e+05
  3.5313e+01   3.5656e+01   3.5719e+00   6.4127e-01   1.7111e-03   2.1596e+05   1.1188e+06
  4.4457e+01   4.4757e+01   3.7992e+00   6.4243e-01   1.4480e-03   3.0158e+05   1.5532e+06
  5.5968e+01   5.6436e+01   4.0311e+00   6.4042e-01   1.2310e-03   4.1730e+05   2.1826e+06
  7.0460e+01   7.0946e+01   4.2599e+00   6.4193e-01   1.0603e-03   5.6247e+05   2.9034e+06
  8.8703e+01   8.9293e+01   4.4899e+00   6.4086e-01   9.4362e-04   7.1014e+05   3.7867e+06
  1.1167e+02   1.1295e+02   4.7249e+00   6.4188e-01   7.8320e-04   1.0309e+06   5.4398e+06
  1.4059e+02   1.4314e+02   4.9618e+00   6.3777e-01   5.5853e-04   2.0270e+06   1.0753e+07
  1.7699e+02   1.7961e+02   5.1888e+00   6.3668e-01   3.8175e-04   4.3390e+06   2.2462e+07
  2.2281e+02   2.2402e+02   5.4096e+00   6.3747e-01   3.0177e-04   6.9435e+06   3.6371e+07
